commit_date	filename	commit_hash	word_count
2016-05-05	sykes_dissertation_defn.tex	67efb1cf24746881e1111650187cbb26ed2d3a96	1761
2016-05-05	sykes_dissertation_exact.tex	c1c9b13b39b8c065cb271f41f2202b204f12c8a2	6668
2016-05-05	sykes_dissertation_intro.tex	0f326e9e781c602a71768447b1340173ab6a44ed	544
2016-05-05	sykes_dissertation_stability.tex	67efb1cf24746881e1111650187cbb26ed2d3a96	9855
2016-05-06	sykes_dissertation.tex	1490290dc23eac7dd4b2021fd285550e8d307177	143
2016-05-06	sykes_dissertation_acknowledgments.tex	94c62093654c8928ae608fbf7e1888beef5e6292	592
2016-05-06	sykes_dissertation_appendix.tex	aa2ae4dcc6665bb6ce9324303055125b125d6b78	53
2016-05-06	sykes_dissertation_burnaxis.tex	3ce209b0128efa8eac421cf0e92cd69f8c0f8746	1593
2016-05-06	sykes_dissertation_burntime.tex	1490290dc23eac7dd4b2021fd285550e8d307177	4471
2016-05-06	sykes_dissertation_dedication.tex	1490290dc23eac7dd4b2021fd285550e8d307177	15
2016-05-06	sykes_dissertation_stability.tex	1490290dc23eac7dd4b2021fd285550e8d307177	9963
2016-05-06	sykes_dissertation_vita_auctoris.tex	3ce209b0128efa8eac421cf0e92cd69f8c0f8746	70
2016-05-07	sykes_dissertation.tex	d07f70ee4777c62fd4b3193dce1c1941e83b08fa	97
2016-05-07	sykes_dissertation_burnaxis.tex	7bbcf7c2b43e81cbdde7449f07b673aebd7ddcd3	1593
2016-05-07	sykes_dissertation_defn.tex	7bbcf7c2b43e81cbdde7449f07b673aebd7ddcd3	1759
2016-05-07	sykes_dissertation_exact.tex	7bbcf7c2b43e81cbdde7449f07b673aebd7ddcd3	6664
2016-05-09	sykes_dissertation.tex	f1a0ed955f54201b16ffef16a43461b32234385a	98
2016-05-09	sykes_dissertation_exact.tex	f1a0ed955f54201b16ffef16a43461b32234385a	6664
